2025-07-03 16:43:28,735 ERROR: Failed to process data/CSI-CARDIOLOGY-UPDATE-2018-Binder.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
2025-07-03 16:43:28,735 ERROR: Failed to process data/cardiology-explained.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
2025-07-03 16:43:28,735 ERROR: Failed to process data/14922.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
kage not found, please install it with `pip install pdfminer.six`
2025-07-03 20:21:17,180 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,184 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,190 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,196 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,200 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,207 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,208 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,216 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,218 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,218 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,218 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,232 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,238 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,241 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,248 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,372 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,381 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,381 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,388 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,396 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,403 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,408 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,408 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,419 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,426 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,426 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,436 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,443 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,451 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,457 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,457 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,468 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,522 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,651 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,722 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,865 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,952 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,983 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:18,017 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:20,574 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:20,697 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,347 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,374 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,553 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,660 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,709 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,709 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,766 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,772 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,782 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,820 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
